Area,Level,Culture,Lab-ref,Date,SD,Material,Cal BP (IntCal13 and Marine13)
Terrace,6 (new),Gravettian,Wk-50396,41384,998,Shell,46239-42742
Terrace ,6,Gravettian,Wk-32146,28321,422,Shell,32751-30936
Terrace ,5,Gravettian,Wk-26801,27720,370,Charcoal,32641-31029
Terrace,6,Gravettian,Wk-35717,28012,192,Charcoal,32497-31333
Terrace ,6,Gravettian,Wk-32147,27141,365,Shell,31209-29792
Terrace,8 (new),Gravettian,Wk-50393,27349,172,Shell,31163-30573
Terrace,7 (new),Gravettian,Wk-50394,26403,149,Shell,30510-29416
Terrace,6,Gravettian,Wk-35712,26026,114,Shell,29873-28961
Terrace,6,Gravettian,Wk-35714,25964,110,Shell,29761-28924
Terrace,6,Gravettian,Wk-35713,25930,122,Shell,29734-28878
Terrace ,6,Gravettian,Wk-30678,25579,98,Shell,29347-28612
Terrace ,4,Gravettian ,Wk-24762,24769,180,Charcoal,29275-28415
Terrace ,5,Gravettian,Wk-32145,25181,293,Shell,29234-27880
Terrace ,6,Gravettian,Wk-30679,25317,99,Shell,29012-28338
Terrace ,4,Gravettian,Wk-31090,24549,165,Bone,28949-28182
Terrace ,5,Gravettian,Wk-30677,25196,103,Shell,28885-28190
Terrace ,6,Gravettian,OxA-25710,25050,100,Shell,28748-28037
Terrace ,5,Gravettian,Wk-31089,24183,161,Bone,28606-27853
Terrace ,4,Gravettian,Wk-32144,24381,258,Shell,28415-27411
Terrace,6 (new),Gravettian,Wk-30676,24318,90,Shell,27991-27511
Terrace,5 (new),Proto-Solutrean,Wk-44416,22358,80,Shell,26177-25699
Terrace,5 (new),Proto-Solutrean,Wk-42830,20818,107,Charcoal,25458-24657
Shelter,C,Solutrean,Wk-26800,20620,160,Charcoal,25296-24377
Shelter,D,Solutrean,Wk-26802,20570,158,Charcoal,25247-24331
Terrace,4 (new),Proto-Solutrean,Wk-50390,20554,75,Shell,24266-23578
Shelter,B,Solutrean,Wk-31088,20340,160,Shell,24148-23152
Terrace,5 (new),Proto-Solutrean,Wk-42831,20329,90,Shell,24054-23287
Shelter,C,Solutrean,Wk-24765,19533,92,Charcoal,23843-23189
Shelter,B,Solutrean,Wk-17840,18859,90,Charcoal,22972-22478
