TS #,Sample ID,Level,Type
 1    , H19-2924  , 4E    , Type 11F           
 2    , H18-2708  , 5     , Type 12B           
 3    , H19-2426  , 4D    , Type 2 (reddening) 
 4    , H19-4074  , 6     , Sub-type 11E       
 5    , H19-4216  , 6     , Oolitic            
 6    , H21-3095  , 4C    , Type 2B            
 7    , H21-4234  , 5     , Type 2B            
 8    , I19-1615  , 4D    , Chalcedony         
 9    , I19-3350  , 6     , CPT                
 10   , I20-3160  , 5     , Type 15            
 11   , I20-3951  , 6     , Sub-type LLB       
 12   , L19-64    , 5     , Type 13 (01b; 01a) 
 13   , J18-778   , 5     , CPT                
 14   , I21-3252  , 4E    , Type 12            
 15   , I21-2966  , 4C    , Type 13B           
 16   , I20-3689  , 6     , CPT                
 17   , I19-2835  , 5     , Type 2             
 18   , I19-2226  , 4E    , Type 2 (rmu_17)    
 19   , H20-2441  , 4E    , Type 7             
 20   , H18-1938  , 4D    , Type 2 (altered)   
 21   , H20-4166  , 6     , White patinated    
 22   ,           ,       , Type 13 (04)       
